CID;Nome do CID;Frequência;Significado Completo;Comorbidades Relacionadas
BA01;Doença cardíaca hipertensiva;29;Doença cardíaca hipertensiva é um termo geralmente aplicado a doenças cardíacas, como hipertrofia ventricular esquerda, doença arterial coronariana, arritmias cardíacas e insuficiência cardíaca congestiva, que sejam causadas por efeitos diretos ou indiretos da hipertensão. A hipertensão prolongada e não controlada pode levar a uma variedade de alterações na estrutura miocárdica, na vasculatura coronária e no sistema de condução do coração.;3A71.2 - Anemia na doença renal crônica (3x) | BA02 - Doença renal hipertensiva (3x) | BA40.Y - Outra angina pectoris especificada (3x)
CA22.0;Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada;21;Uma exacerbação aguda não especificada da DPOC é um evento agudo caracterizado por um agravamento dos sintomas respiratórios do paciente além das variações normais do dia a dia e que levam a uma modificação na medicação. Exacerbações de DPOC podem ser precipitadas por vários fatores. O diagnóstico de uma exacerbação se baseia exclusivamente na apresentação clínica do paciente, que se queixa de piora aguda dos sintomas (dispneia basal, tosse e/ou produção de escarro) para além da sua variação normal dia a dia.;CB00 - Síndrome do desconforto respiratório agudo (3x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (3x) | BA51 - Miocardiopatia isquêmica (3x)
BA40.Y;Outra angina pectoris especificada;20;;BA51 - Miocardiopatia isquêmica (5x) | BA01 - Doença cardíaca hipertensiva (3x) | MC90 - Achados clínicos em exames diagnósticos por imagem do coração ou da circulação coronariana (2x)
3A71.2;Anemia na doença renal crônica;18;Doença causada por doença crônica do rim. Esta doença é caracterizada por baixos níveis de glóbulos vermelhos no organismo. Esta doença pode se manifestar com palidez, fadiga ou falta de ar. A confirmação é feita pela identificação de baixos níveis de glóbulos vermelhos numa amostra de sangue.;BA02 - Doença renal hipertensiva (5x) | BA01 - Doença cardíaca hipertensiva (3x) | GB40 - Síndrome nefrítica (2x)
BA02;Doença renal hipertensiva;18;A doença renal hipertensiva é uma condição médica que se refere a danos ao rim devido à hipertensão crônica.;3A71.2 - Anemia na doença renal crônica (5x) | GB40 - Síndrome nefrítica (4x) | BA01 - Doença cardíaca hipertensiva (3x)
BA51;Miocardiopatia isquêmica;18;Cardiomiopatia isquêmica tem sido definida como disfunção sistólica ventricular esquerda com um ou mais dos seguintes aspectos: antecedente de revascularização do miocárdio ou de infarto do miocárdio prévios, estenose em tronco de coronária esquerda ou artéria descendente anterior esquerda superior a 75% ou dois vasos ou mais com estenose superior a 75%. Consiste em um espectro de estados fisiopatológicos que se relacionam ao equilíbrio entre contratilidade e perfusão miocárdica, incluindo infarto do miocárdio, miocárdio atordoado, miocárdio hibernante e cicatrizes miocárdicas.;BA40.Y - Outra angina pectoris especificada (5x) | BC43.0 - Cardiomiopatia dilatada (5x) | CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (3x)
CB21.1;Outro pneumotórax espontâneo;17;"O pneumotórax espontâneo não hipertensivo está incluído nesta classificação. 

Aqui se incluem o pneumotórax espontâneo não hipertensivo e o pneumotórax secundário não hipertensivo. O pneumotórax espontâneo primário ocorre em pacientes sem uma doença pulmonar subjacente, classicamente em homens jovens magros na adolescência ou na terceira década de vida. É considerado como sendo causado por rotura espontânea de bolha ou cisto subpleural apical resultantes de tabagismo ou hereditários. Ocorre geralmente em repouso, embora alguns casos ocorram durante atividades que envolvam alongamento ou estiramento. O pneumotórax espontâneo primário ocorre também durante mergulho ou em voos a altas altitudes em decorrência de variações de pressão transmitidas de forma desigual nos pulmões. O pneumotórax espontâneo secundário ocorre em pacientes com doença pulmonar subjacente. Este resulta mais frequentemente da rotura de bolhas ou cistos em pacientes com DPOC grave, Infecção por Pneumocistiis jirovecii relacionada ao HIV, fibrose cística ou outra doença pulmonar parenquimatosa subjacente. O pneumotórax espontâneo secundário é mais grave do que o pneumotórax espontâneo primário porque ocorre em pacientes cuja doença pulmonar subjacente reduz a reserva pulmonar.";CB27 - Derrame pleural (2x) | 9A94.1 - Síndrome da íris flácida (2x) | MG29.0Y - Outro edema localizado especificado (1x)
GB40;Síndrome nefrítica;16;Início súbito de doença glomerular, geralmente com hematúria grave (macroscópica/visível) acompanhada de oligúria, pressão arterial elevada, edema leve e albuminúria ou proteinúria geralmente de faixa subnefrótica. Pode ser uma causa de insuficiência renal aguda, caso em que a síndrome é denominada nefrite rapidamente progressiva. A síndrome nefrítica tem muitas causas possíveis e está associada a alterações renais à microscopia de luz, como hipercelularidade, necrose ou trombose.;BA02 - Doença renal hipertensiva (4x) | 3A71.2 - Anemia na doença renal crônica (2x) | 5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (2x)
5A00.20;Hipotireoidismo devido a medicamentos ou outras substâncias exógenas;15;Condição causada por uma hipofunção da tireoide devido a medicamentos ou outras substâncias exógenas. Essa condição pode se apresentar com fadiga, aumento da sensibilidade ao frio, constipação, pele seca, ganho de peso, fraqueza e dor muscular, aumento de colesterol, dores ou inchaços nas articulações, períodos menstruais mais intensos ou irregulares, enfraquecimento do cabelo, depressão e memória deficiente.;BA02 - Doença renal hipertensiva (2x) | GB40 - Síndrome nefrítica (2x) | DB32.0 - Pseudo-obstrução do cólon (2x)
MF95;Mioglobinúria;15;Mioglobinúria é a presença de mioglobina na urina, geralmente como resultado de rabdomiólise. Qualquer processo que interfira no armazenamento ou uso de energia pelas células musculares pode levar à mioglobinúria. Quando excretada na urina, a mioglobina pode precipitar, causando obstrução tubular e lesão renal aguda. As causas mais comuns de mioglobinúria em adultos são traumatismos e abuso de álcool e drogas, geralmente relacionadas à necrose muscular por imobilização e pressão prolongadas pelo peso corporal. O consumo prolongado de etanol e a atividade convulsiva, semelhante à atividade física excessiva, podem produzir um desequilíbrio entre o consumo e a produção de energia muscular, resultando na destruição muscular.;MF56 - Cólica renal (2x) | 5C78 - Sobrecarga de líquidos (2x) | MF96 - Proteinúria (2x)
BC81.30;Fibrilação atrial paroxística;15;FA recorrente (> = 2 episódios) que termina espontaneamente em 7 dias ou menos (geralmente em 24 horas).;5B5A.0 - Beribéri (3x) | MC81 - Anormalidades do batimento cardíaco (2x) | 1F53.2 - Doença de Chagas crônica com envolvimento cardíaco (1x)
